vehicle_id,vehicle_index,stop_index,order_id,demand_kg,cumulative_load_kg,lat,lon
V001,0,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V002,1,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V003,2,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V003,2,1,ORD0356,0.54,0.54,46.0387013,14.5041291
V003,2,2,ORD0180,0.84,1.38,46.0513683,14.5334657
V003,2,3,ORD0251,12.99,14.37,46.073948,14.5623989
V003,2,4,ORD0115,1.63,16.00,46.06064937344906,14.581762383410112
V003,2,5,ORD0156,8.17,24.17,46.0659591,14.6139965
V003,2,6,ORD0413,8.19,32.36,46.0648938,14.6161048
V003,2,7,ORD0308,5.04,37.40,46.052562,14.661477
V003,2,8,ORD0354,3.10,40.50,46.0479594,14.6023542
V003,2,9,ORD0014,2.47,42.97,46.0048737,14.4885574
V003,2,10,ORD0300,1.11,44.08,46.0008699,14.4769948
V003,2,11,ORD0097,12.99,57.07,46.0337564,14.4602567
V003,2,12,ORD0449,12.34,69.41,46.042930918886135,14.45214088340908
V003,2,13,ORD0464,1.99,71.40,46.0465052,14.4522411
V003,2,14,ORD0087,19.06,90.46,46.0439921,14.4555512
V003,2,15,ORD0093,19.83,110.29,46.0409358,14.4578025
V003,2,16,ORD0200,3.30,113.59,46.0344417,14.4554599
V003,2,17,ORD0276,19.82,133.41,46.0341272,14.4587646
V003,2,18,ORD0301,4.49,137.90,46.0366209,14.4696326
V003,2,19,ORD0216,12.56,150.46,46.036321,14.4742244
V003,2,20,ORD0396,19.15,169.61,46.0365135,14.4756638
V003,2,21,ORD0442,17.84,187.45,46.0372846,14.4816396
V003,2,22,ORD0081,17.83,205.28,46.0470477,14.4736337
V003,2,23,ORD0457,12.74,218.02,46.0466587,14.4795718
V003,2,24,ORD0242,9.34,227.36,46.043744,14.4873936
V003,2,25,ORD0436,3.94,231.30,46.0480554,14.4978813
V003,2,26,ORD0285,8.18,239.48,46.0447574,14.5071849
V003,2,27,ORD0036,16.95,256.43,46.0417755,14.5100765
V003,2,28,ORD0314,6.05,262.48,46.0356528,14.5181083
V003,2,29,ORD0288,16.66,279.14,46.0358532,14.5160465
V003,2,30,ORD0240,14.29,293.43,46.0321723,14.5018385
V003,2,31,ORD0295,7.43,300.86,46.0290213,14.493805
V003,2,32,ORD0182,18.94,319.80,46.0276395,14.4931216
V003,2,33,ORD0086,16.77,336.57,46.0276342,14.493966
V003,2,34,ORD0147,6.93,343.50,46.0289722,14.5056878
V003,2,35,ORD0019,4.03,347.53,46.0281974,14.5067628
V003,2,36,ORD0048,3.35,350.88,46.0275894,14.5112347
V003,2,37,ORD0331,1.42,352.30,46.0259263,14.5296153
V003,2,38,ORD0235,7.14,359.44,46.0174526,14.5300339
V003,2,39,ORD0053,11.38,370.82,46.0263974,14.5445337
V003,2,40,ORD0077,9.82,380.64,46.0350743,14.5701425
V003,2,41,ORD0321,11.42,392.06,46.0376037,14.5678845
V003,2,42,ORD0005,12.37,404.43,46.0376192,14.5709982
V003,2,43,ORD0065,6.20,410.63,46.0516794,14.6041586
V003,2,44,ORD0309,12.76,423.39,46.0554453,14.5971566
V003,2,45,ORD0185,3.25,426.64,46.0543727,14.5949236
V003,2,46,ORD0239,17.33,443.97,46.0507067,14.5919541
V003,2,47,ORD0415,18.08,462.05,46.0514176,14.5873271
V003,2,48,ORD0160,17.61,479.66,46.05363,14.5843876
V003,2,49,ORD0151,14.22,493.88,46.05840685623219,14.582230568064576
V003,2,50,ORD0341,10.90,504.78,46.05843082629371,14.579345341082655
V003,2,51,ORD0153,5.49,510.27,46.06007953247612,14.577939454573707
V003,2,52,ORD0148,2.58,512.85,46.060277632022,14.585737025737377
V003,2,53,ORD0059,8.80,521.65,46.0726512,14.5869933
V003,2,54,ORD0138,9.07,530.72,46.093293,14.581489
V003,2,55,ORD0311,10.98,541.70,46.1058853,14.5452441
V003,2,56,ORD0195,13.79,555.49,46.1092945,14.5253602
V003,2,57,ORD0394,8.36,563.85,46.1057462,14.5262331
V003,2,58,ORD0405,4.47,568.32,46.0994595,14.5283011
V003,2,59,ORD0134,7.45,575.77,46.0937911,14.5061899
V003,2,60,ORD0476,10.88,586.65,46.0879282,14.5110662
V003,2,61,ORD0210,6.47,593.12,46.0828397,14.509247
V003,2,62,ORD0223,16.36,609.48,46.0823594,14.5095099
V003,2,63,ORD0310,9.74,619.22,46.0805644,14.5118681
V003,2,64,ORD0278,3.55,622.77,46.0665095,14.5132846
V003,2,65,ORD0329,16.32,639.09,46.0637549,14.499486
V003,2,66,ORD0414,0.80,639.89,46.0624959,14.4985327
V003,2,67,ORD0123,2.42,642.31,46.0668116,14.4956392
V003,2,68,ORD0080,0.74,643.05,46.0676941,14.4839689
V003,2,69,ORD0070,10.13,653.18,46.0697399,14.4807341
V003,2,70,ORD0448,5.24,658.42,46.071261920267624,14.482599052719843
V003,2,71,ORD0395,15.05,673.47,46.0815349,14.4718948
V003,2,72,ORD0120,18.47,691.94,46.1000889,14.457578
V003,2,73,ORD0209,6.88,698.82,46.1192057,14.4584873
V003,2,74,ORD0075,19.99,718.81,46.1121334,14.4655425
V003,2,75,ORD0108,13.08,731.89,46.1003424,14.4771085
V004,3,0,depot,0.00,0.00,46.0506713158607,14.459560361232214
V004,3,1,ORD0296,8.50,8.50,46.0761119,14.4893383
V004,3,2,ORD0248,1.92,10.42,46.0863414,14.4670956
